"country","city","long","lat","isp","network","dOs","dType","dOsVersion","dBrowser","dBrowserVersion","offer"
ZM,Lusaka,28.287,-15.4183,ZAIN-ZAMBIA,102.144.0.0/13,Android,mobile,6.0.1,Chrome WebView,51.0.2704.81,2
NP,Itahari,87.2878,26.6661,WorldLink Communications Pvt Ltd,27.34.0.0/17,Android,mobile,8.0.0,Chrome,65.0.3325.109,1
SG,Singapore,103.6818,1.3078,DIGITALOCEAN-ASN,174.138.0.0/17,Android,mobile,7.1.1,UCBrowser,12.2.5.1102,2
DZ,Algiers,3.0905,36.7295,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,5.1,Chrome WebView,43.0.2357.121,2
LK,Galle,80.2197,6.0336,Mobitel Pvt Ltd,61.245.160.0/20,Android,mobile,5.1,Android Browser,4.0,1
SA,Riyadh,46.7179,24.6569,Mobile Telecommunication Company Saudi Arabia Joint-Stock company,51.36.0.0/16,Android,mobile,6.0.1,Chrome,65.0.3325.109,1
BY,Minsk,27.5709,53.9007,Republican Unitary Telecommunication Enterprise Beltelecom,93.84.0.0/15,Android,mobile,8.0.0,Chrome WebView,65.0.3325.109,1
PE,Lima,-77.0428,-12.0464,America Movil Peru S.A.C.,179.6.0.0/15,Android,mobile,6.0,Chrome,53.0.2785.124,2
KE,Nairobi,36.8155,-1.2841,WANANCHI,41.212.0.0/17,Android,mobile,6.0.1,Chrome,56.0.2924.87,2
IT,Genoa,8.95,44.4071,Vodafone Italia S.p.A.,5.88.0.0/13,Android,mobile,7.0,Chrome,65.0.3325.109,2
AE,Dubai,55.3087,25.2633,Emirates Integrated Telecommunications Company PJSC,5.30.0.0/15,Android,mobile,5.0,Chrome,65.0.3325.109,2
LT,Vilnius,25.3225,54.6816,Tele2 SWIPnet,90.128.0.0/12,Android,mobile,6.0.1,MIUI Browser,9.4.10,1
JO,Amman,35.939,31.9522,Jordan Data Communications Company LLC,86.108.0.0/17,Android,mobile,7.0,Chrome,65.0.3325.109,2
NP,Kailali,80.7809,28.5668,"Nepal Telecommunications Corporation, Internet Services",49.244.0.0/16,Android,mobile,5.1.1,Chrome,65.0.3325.109,2
DZ,Algiers,3.0905,36.7295,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,6.0,Chrome WebView,44.0.2403.119,1
TR,Ankara,32.8892,39.9338,Turk Telekom,88.227.192.0/18,Android,mobile,7.0,Chrome,64.0.3282.137,1
NP,Kathmandu,85.3145,27.7142,"Subisu Cablenet Pvt Ltd, Baluwatar, Kathmandu, Nepal",163.47.148.0/22,Android,mobile,7.1.1,Chrome,65.0.3325.109,1
UA,Dnipro,35.046,48.4735,Kyivstar PJSC,46.211.0.0/16,Android,mobile,5.1,Chrome WebView,44.0.2403.147,1
IN,Kolkata,88.3832,22.518,Vodafone India Ltd.,42.108.0.0/14,Android,mobile,6.0.1,UCBrowser,12.2.1.1108,1
PY,Asunción,-57.6511,-25.2869,Techtel LMDS Comunicaciones Interactivas S.A.,170.51.112.0/20,Android,mobile,4.4.4,Samsung Browser,2.0,2
PY,Asunción,-57.6511,-25.2869,Techtel LMDS Comunicaciones Interactivas S.A.,170.51.112.0/20,Android,mobile,4.0.4,Android Browser,4.0,1
NL,Rotterdam,4.5016,51.9083,KPN B.V.,31.160.0.0/15,Android,mobile,7.0,Chrome WebView,65.0.3325.109,2
SA,Dhahran,50.1324,26.3023,Mobile Telecommunication Company Saudi Arabia Joint-Stock company,51.36.0.0/16,Android,mobile,6.0.1,Chrome,65.0.3325.109,1
IQ,Mosul,43.1155,36.341,Blue Sky Telecom LTD,185.239.178.0/23,Android,mobile,4.4.4,Chrome,57.0.2987.132,2
NP,Kathmandu,85.3145,27.7142,WorldLink Communications Pvt Ltd,27.34.0.0/17,Android,mobile,6.0.1,Chrome,65.0.3325.109,1
SG,Singapore,103.8367,1.3652,M1 NET LTD,129.126.192.0/20,Android,mobile,6.0,UCBrowser,12.2.5.1102,2
ZM,Lusaka,28.287,-15.4183,ZAIN-ZAMBIA,102.144.0.0/13,Android,mobile,6.0,Chrome WebView,53.0.2785.124,1
NL,Rotterdam,4.5082,51.8943,T-mobile Netherlands B.V.,84.241.192.0/18,iOS,mobile,11.3,WebKit,605.1.15,2
HK,Central,114.1501,22.2908,China Mobile Hong Kong Company Limited,182.239.120.0/22,Android,mobile,7.0,MIUI Browser,9.4.10,2
SA,Jeddah,39.2192,21.5168,Mobile Telecommunication Company Saudi Arabia Joint-Stock company,51.36.0.0/16,Android,mobile,4.4.4,Chrome,65.0.3325.109,1
DZ,Algiers,3.0905,36.7295,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,6.0,Chrome WebView,59.0.3071.125,1
ZW,Harare,31.0478,-17.815,TELONE,197.221.224.0/19,Android,mobile,7.0,Chrome,65.0.3325.109,2
NP,Pipara Simara,84.9845,27.1703,"Subisu Cablenet Pvt Ltd, Baluwatar, Kathmandu, Nepal",182.93.64.0/19,Android,mobile,6.0,Chrome WebView,65.0.3325.109,2
ZW,Harare,31.0478,-17.815,TELONE,197.221.224.0/19,Android,mobile,7.0,Chrome,65.0.3325.109,1
DZ,Sidi Aich,4.6836,36.6085,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,6.0,Chrome WebView,44.0.2403.119,2
NP,Kathmandu,85.3145,27.7142,"Subisu Cablenet Pvt Ltd, Baluwatar, Kathmandu, Nepal",110.34.0.0/19,Android,mobile,7.1.2,Chrome,65.0.3325.109,1
TH,Bangkok,100.4638,13.6984,Advance Wireless Network,49.230.192.0/18,Android,mobile,4.4.2,UCBrowser,12.2.5.1102,1
US,Dillon,-112.6427,45.2319,BRESNAN-33588,47.37.0.0/18,Android,mobile,6.0.1,Samsung Browser,6.4,2
VN,Hanoi,105.8516,21.0313,Viettel Group,117.0.0.0/13,iOS,mobile,11.3,UCBrowser,11.3.1.1058,1
MA,Casablanca,-7.6184,33.5922,MAROCCONNECT,105.64.0.0/13,Android,mobile,4.4.2,Android Browser,4.0,2
TH,Bang Khae,100.417,13.7159,Total Access Communication PLC.,1.46.0.0/15,Android,mobile,7.1,Chrome WebView,60.0.3112.78,1
ZA,Cape Town,18.4129,-33.914,VODACOM,105.248.0.0/14,Android,mobile,5.1.1,Chrome,61.0.3163.98,2
NP,Kathmandu,85.3145,27.7142,"Nepal Telecommunications Corporation, Internet Services",49.244.0.0/16,Android,mobile,5.1.1,Chrome,65.0.3325.109,2
BD,Cox's Bazar,92.0119,21.4424,TM International Bangladesh,103.242.20.0/22,Android,mobile,6.0,Chrome WebView,56.0.2924.87,1
NL,Amsterdam,4.8802,52.3564,KPN B.V.,31.160.0.0/15,iOS,mobile,11.3,WebKit,605.1.15,2
AE,Ajman,55.532,25.441,Emirates Telecommunications Corporation,2.48.0.0/14,Android,mobile,6.0,Chrome WebView,64.0.3282.137,2
KR,Cheongju-si,127.4838,36.638,Korea Telecom,218.151.64.0/19,Android,tablet,5.1.1,Android Browser,4.0,2
AR,San Miguel de Tucumán,-65.2154,-26.816,Telecom Argentina S.A.,181.8.0.0/15,Windows Phone,mobile,8.1,IEMobile,11.0,2
DZ,Béjaïa,5.0877,36.7494,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,6.0,Chrome WebView,44.0.2403.119,1
KR,Asan,127.0042,36.7836,LG DACOM Corporation,61.38.64.0/18,Android,tablet,4.4.2,Android Browser,4.0,2
DZ,Mostaganem,0.0939,35.9365,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,5.1,Chrome,46.0.2490.76,2
KH,Phnom Penh,104.9121,11.5583,CAMGSM Company Ltd,203.144.88.0/21,Android,mobile,5.0.2,Chrome,65.0.3325.109,2
LB,Beirut,35.5089,33.874,,,Android,mobile,6.0.1,Chrome,58.0.3029.83,2
NP,Kathmandu,85.3145,27.7142,WorldLink Communications Pvt Ltd,27.34.0.0/17,Android,mobile,4.2.2,Chrome,64.0.3282.137,2
NP,Butwal,83.4474,27.7032,TECHMINDS NETWORKS PVT. LTD.,150.107.204.0/22,Android,mobile,6.0,Chrome,66.0.3359.106,1
US,Brandon,-89.9622,32.3046,COMCAST-7922,71.192.0.0/12,Windows,desktop,10,Chrome,66.0.3359.117,1
MN,Ulan Bator,106.9177,47.9173,first E-commerce and TriplePlay Service ISP in Mongolia.,66.181.176.0/20,Android,mobile,5.1.1,Facebook,158.0.0.20.96,2
AE,Abu Dhabi,54.363,24.4638,Emirates Telecommunications Corporation,37.245.0.0/16,Android,mobile,6.0,Chrome WebView,64.0.3282.137,2
ZM,Lusaka,28.287,-15.4183,MTN Zambia,41.223.116.0/22,Android,mobile,6.0,Chrome WebView,60.0.3112.107,1
LB,Haret Hreik,35.4952,33.8485,TerraNet sal,212.98.144.0/20,Android,mobile,6.0.1,Chrome,56.0.2924.87,1
DZ,Algiers,3.0905,36.7295,wataniya-telecom-as,105.235.128.0/20,Android,mobile,5.1,Chrome,49.0.2623.91,2
DZ,Algiers,3.0459,36.7624,wataniya-telecom-as,105.235.128.0/20,Android,mobile,4.4.2,Android Browser,4.0,2
VN,Khu Pho Nam,106.6622,10.9911,Vietnamobile Telecommunications Joint Stock Company,103.7.36.0/22,Android,mobile,6.0,Chrome WebView,44.0.2403.119,1
AE,Al Ain City,55.7623,24.19,Emirates Telecommunications Corporation,5.38.0.0/17,Android,mobile,6.0,Chrome WebView,65.0.3325.109,2
NP,Kathmandu,85.3145,27.7142,"Subisu Cablenet Pvt Ltd, Baluwatar, Kathmandu, Nepal",110.34.0.0/19,Android,mobile,4.4.2,Android Browser,4.0,2
JM,Kingston,-76.8019,17.9962,DIG001,63.143.112.0/20,iOS,mobile,10.3.3,Mobile Safari,10.0,2
AR,Córdoba,-64.1848,-31.3918,Telecom Argentina S.A.,181.8.0.0/15,Windows Phone,mobile,8.1,IEMobile,11.0,1
VN,Ho Chi Minh City,106.6581,10.8326,Vietnamobile Telecommunications Joint Stock Company,103.7.36.0/22,Android,mobile,6.0,Android Browser,4.0,1
KE,Nairobi,36.8155,-1.2841,JAMBONET,102.166.0.0/15,Android,mobile,4.4.2,Android Browser,4.0,1
AE,Dubai,55.3087,25.2633,Emirates Telecommunications Corporation,2.48.0.0/14,Android,mobile,6.0,Chrome WebView,64.0.3282.137,2
PK,Karachi,66.9983,24.8591,Fariya Networks Pvt. Ltd.,111.92.128.0/19,Android,mobile,7.0,Chrome,66.0.3359.126,2
IE,Dublin,-6.2591,53.3382,Three Ireland (Hutchison) limited,83.136.40.0/21,iOS,mobile,11.2.6,WebKit,604.5.6,2
KE,Eldoret,35.2788,0.5195,JAMBONET,102.166.0.0/15,Android,mobile,4.4.2,Android Browser,4.0,1
MA,Casablanca,-7.6184,33.5922,MAROCCONNECT,105.64.0.0/13,Android,mobile,5.1,Android Browser,4.0,2
ZM,Lusaka,28.287,-15.4183,MTN Zambia,41.223.116.0/22,Android,mobile,4.1.2,Android Browser,4.0,2
NP,Itahari,87.2878,26.6661,WorldLink Communications Pvt Ltd,27.34.0.0/17,Android,mobile,4.4.2,Chrome,65.0.3325.109,1
KE,Nairobi,36.8155,-1.2841,SEACOM-AS,105.16.0.0/12,Android,mobile,6.0,Chrome,50.0.2661.89,2
KE,Nairobi,36.8155,-1.2841,Safaricom,41.139.128.0/17,Android,mobile,6.0,Chrome,55.0.2883.91,1
US,Evergreen,-105.3402,39.6374,CENTURYLINK-US-LEGACY-QWEST,174.16.0.0/12,Windows,desktop,10,Chrome,65.0.3325.181,1
SA,Jeddah,39.2192,21.5168,Mobile Telecommunication Company Saudi Arabia Joint-Stock company,51.39.0.0/17,Android,mobile,6.0,Chrome,65.0.3325.109,2
CL,Santiago,-70.6653,-33.4513,WOM S.A.,201.219.232.0/21,Android,mobile,6.0.1,Chrome,65.0.3325.109,2
ZA,Johannesburg,27.8376,-26.3811,MTN Business Solutions,41.112.0.0/15,Android,tablet,4.1.2,Android Browser,4.0,2
EG,Mallawi,30.8491,27.7343,TE-AS,197.32.0.0/11,Android,mobile,5.0,Chrome,65.0.3325.109,1
DZ,Saida,0.1431,34.8364,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,5.1,Android Browser,4.0,1
IE,Dublin,-6.2591,53.3382,Vodafone Ireland Limited,213.233.128.0/19,iOS,mobile,11.2.6,WebKit,604.5.6,2
NP,Itahari,87.2878,26.6661,WorldLink Communications Pvt Ltd,27.34.0.0/17,Android,mobile,5.1.1,Chrome,65.0.3325.109,1
NP,Kathmandu,85.3145,27.7142,WorldLink Communications Pvt Ltd,27.34.0.0/17,Android,mobile,5.1.1,Chrome WebView,65.0.3325.109,1
ID,Penajam,116.7747,-1.2557,PT Telekomunikasi Indonesia,125.160.0.0/15,Android,mobile,5.1.1,UCBrowser,12.2.5.1102,1
LB,Sidon,35.3649,33.5646,TerraNet sal,213.204.64.0/18,Android,mobile,6.0.1,Chrome,65.0.3325.109,1
LB,Tair Zebna,35.3833,33.2444,Aoun.net s.a.r.l,185.118.24.0/22,Android,mobile,7.0,Chrome,66.0.3359.106,2
NL,Loosdrecht,5.1133,52.2,Vodafone Libertel B.V.,62.140.128.0/20,Android,mobile,7.1.1,Chrome WebView,65.0.3325.109,2
NL,Rotterdam,4.5016,51.9083,KPN B.V.,31.160.0.0/15,Android,mobile,7.0,Facebook,162.0.0.19.90,2
CZ,Vlasim,14.9977,49.7535,T-Mobile Czech Republic a.s.,89.24.0.0/18,Android,mobile,7.1.1,Chrome WebView,65.0.3325.109,2
NL,Wilnis,4.8914,52.1961,T-mobile Netherlands B.V.,89.205.128.0/17,Android,mobile,7.0,Chrome WebView,66.0.3359.106,2
KE,Nairobi,36.8155,-1.2841,JTL,197.232.0.0/16,Android,mobile,4.4.4,Android Browser,4.0,1
ZA,Cape Town,18.4811,-34.0486,MTN Business Solutions,41.114.0.0/16,Android,mobile,6.0,Chrome,65.0.3325.109,2
NL,Rotterdam,4.5223,51.9249,KPN B.V.,188.200.0.0/13,Android,mobile,7.0,Chrome WebView,65.0.3325.109,2
SA,Dammam,50.1116,26.4336,Mobile Telecommunication Company Saudi Arabia Joint-Stock company,51.36.0.0/16,Android,mobile,6.0,Chrome,65.0.3325.109,1
DZ,Ifigha,4.4089,36.6676,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,5.0,Chrome,65.0.3325.109,2
NG,Lagos,3.3903,6.4474,MTN NIGERIA Communication limited,197.210.0.0/16,Android,mobile,4.4.2,Android Browser,4.0,1
ID,Gresik,112.6611,-7.1511,PT Telekomunikasi Indonesia,36.72.0.0/13,Android,mobile,6.0.1,UCBrowser,12.2.5.1102,1
DZ,Algiers,3.0905,36.7295,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,4.4.2,Android Browser,4.0,1
DZ,Saida,0.1431,34.8364,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,6.0,Android Browser,4.0,1
NL,Rotterdam,4.5223,51.9249,KPN B.V.,188.200.0.0/13,Android,mobile,6.0,Chrome WebView,66.0.3359.106,1
MA,Meknes,-5.5396,33.8916,MAROCCONNECT,105.64.0.0/13,Android,mobile,6.0,Chrome WebView,63.0.3239.107,2
KE,Nairobi,36.8155,-1.2841,Safaricom,197.248.0.0/16,Android,mobile,6.0,Chrome,61.0.3163.98,1
DZ,Algiers,3.0459,36.7624,wataniya-telecom-as,105.235.128.0/20,Android,mobile,5.1,Chrome WebView,65.0.3325.109,1
MN,Ulan Bator,106.9177,47.9173,first E-commerce and TriplePlay Service ISP in Mongolia.,103.57.92.0/22,Android,mobile,7.0,Chrome,66.0.3359.126,2
NP,Ratnanagar,84.5226,27.6169,"Nepal Telecommunications Corporation, Internet Services",49.244.0.0/16,Android,mobile,6.0.1,Chrome,65.0.3325.109,1
MY,Labuan,115.2392,5.2896,"TM Net, Internet Service Provider",124.13.0.0/16,Android,mobile,4.2.2,Chrome,37.0.2062.117,1
NL,Amsterdam,4.8802,52.3564,KPN B.V.,89.200.0.0/17,Android,mobile,7.0,Chrome WebView,65.0.3325.109,1
DZ,Annaba,7.77,36.8977,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,6.0,Chrome WebView,44.0.2403.119,1
KE,Nairobi,36.8155,-1.2841,Safaricom,197.248.0.0/16,Android,mobile,6.0,Chrome,61.0.3163.98,2
DZ,Oran,-0.6472,35.6877,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,5.1,Android Browser,4.0,1
BD,Dhaka,90.4096,23.8175,TM International Bangladesh,58.145.184.0/21,Android,mobile,5.1.1,Chrome,65.0.3325.109,1
DZ,Algiers,3.0459,36.7624,wataniya-telecom-as,105.235.128.0/20,Android,mobile,6.0,Chrome WebView,62.0.3202.84,2
DZ,Ain Bessem,3.6714,36.2888,Optimum-Telecom-Algeria,129.45.0.0/17,Android,tablet,7.0,Chrome WebView,56.0.2924.87,2
ID,Palembang,104.747,-2.9702,PT Telekomunikasi Indonesia,180.242.0.0/15,Android,mobile,4.4.4,Chrome,65.0.3325.109,2
NP,Butwal,83.4474,27.7032,TECHMINDS NETWORKS PVT. LTD.,150.107.204.0/22,Android,mobile,7.0,Chrome,65.0.3325.109,2
NP,Kathmandu,85.3145,27.7142,WorldLink Communications Pvt Ltd,27.34.0.0/17,Android,tablet,8.0.0,Chrome,65.0.3325.109,2
DZ,Algiers,3.0905,36.7295,wataniya-telecom-as,105.235.128.0/20,Android,tablet,4.4,Android Browser,4.0,1
DZ,Ifigha,4.4089,36.6676,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,7.0,Chrome WebView,62.0.3202.84,2
NP,Kathmandu,85.3145,27.7142,WorldLink Communications Pvt Ltd,27.34.0.0/17,Android,mobile,7.0,Chrome,65.0.3325.109,2
DZ,Constantine,6.6172,36.368,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,6.0,Android Browser,4.0,2
NP,Kathmandu,85.3145,27.7142,WorldLink Communications Pvt Ltd,27.34.0.0/17,Android,mobile,6.0,Chrome WebView,65.0.3325.109,1
NL,Amsterdam,4.8975,52.3759,T-mobile Netherlands B.V.,178.224.0.0/13,Android,mobile,5.1.1,Chrome,65.0.3325.109,2
JO,Amman,35.939,31.9522,Batelco Jordan,92.241.32.0/19,Android,mobile,4.4.2,Chrome,65.0.3325.109,2
DZ,Algiers,3.0905,36.7295,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,5.1,Android Browser,4.0,2
DZ,Kouba,3.0839,36.7377,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,6.0,Android Browser,4.0,1
KH,Phnom Penh,104.9121,11.5583,"SMART AXIATA Co., Ltd.",117.20.112.0/21,Android,mobile,5.1,Android Browser,4.0,2
TR,Ankara,32.8372,39.9205,Turk Telekom,78.180.128.0/19,Android,mobile,4.4.4,Chrome,65.0.3325.109,1
IN,Namakkal,78.1663,11.2203,Reliance Jio Infocomm Limited,157.48.0.0/14,Android,tablet,6.0.1,UCBrowser,12.2.5.1102,2
NL,Gouda,4.6939,52.0056,KPN B.V.,188.200.0.0/13,Android,mobile,7.1.1,Chrome WebView,65.0.3325.109,2
TN,Ben Arous,10.2126,36.7496,ORANGE,196.224.0.0/12,Android,mobile,6.0,Chrome WebView,55.0.2883.91,1
AZ,Baku,49.8759,40.3909,Azercell Telecom Ltd Azerbaijan-Turkey Joint Venture,5.191.0.0/17,Android,mobile,6.0,Android Browser,4.0,2
DZ,Oran,-0.6472,35.6877,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,6.0,Android Browser,4.0,1
YE,Marwath,45.0943,15.0346,AS6453,195.219.0.0/19,Android,mobile,4.1.2,Android Browser,4.0,2
TN,Tataouine,10.4555,32.9317,Hexabyte-AS,41.227.128.0/17,Android,mobile,6.0,Chrome,66.0.3359.126,2
DZ,Algiers,3.0905,36.7295,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,6.0,Android Browser,4.0,1
VN,Nha Trang,109.1832,12.2539,VNPT Corp,14.160.0.0/11,iOS,mobile,11.3,Facebook,168.0.0.57.90,2
NP,Kathmandu,85.3145,27.7142,WorldLink Communications Pvt Ltd,27.34.0.0/17,Android,mobile,4.4.2,Android Browser,4.0,2
NL,Rotterdam,4.5026,51.8867,T-mobile Netherlands B.V.,84.241.192.0/18,Android,mobile,7.0,Chrome,66.0.3359.106,1
NP,Kathmandu,85.3145,27.7142,WorldLink Communications Pvt Ltd,27.34.0.0/17,Android,mobile,4.4.2,Chrome,65.0.3325.109,1
NP,Urlabari,87.6317,26.6718,I. ZONE PVT. LTD,103.204.220.0/22,Android,mobile,5.1,Chrome,66.0.3359.106,2
DZ,Oran,-0.6472,35.6877,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,7.0,Chrome WebView,62.0.3202.84,1
DZ,Mostaganem,0.0939,35.9365,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,5.1,Chrome WebView,43.0.2357.121,1
BD,Dhaka,90.3722,23.7534,TM International Bangladesh,202.134.8.0/21,Android,mobile,7.0,Chrome WebView,62.0.3202.84,1
VN,Bac Giang,106.1933,21.2749,VNPT Corp,14.160.0.0/11,iOS,mobile,11.3,Mobile Safari,11.0,2
JM,Kingston,-76.8019,17.9962,DIG001,63.143.112.0/20,iOS,mobile,11.1.2,Facebook,161.0.0.53.95,2
DZ,Algiers,3.0905,36.7295,Telecom Algeria,41.96.0.0/12,Android,mobile,4.4.4,Chrome,65.0.3325.109,2
TH,Bangkok,100.4638,13.6984,Total Access Communication PLC.,1.46.0.0/15,Android,mobile,7.1,Android Browser,4.0,1
NA,Windhoek,17.0849,-22.5674,Mobile Telecommunications,105.232.0.0/16,Android,mobile,4.4.4,Samsung Browser,2.0,1
BD,Chittagong,91.8292,22.3396,TM International Bangladesh,103.242.20.0/22,Android,mobile,6.0,Chrome WebView,56.0.2924.87,2
JO,Amman,35.939,31.9522,Linkdotnet-Jordan,188.247.64.0/19,Android,mobile,7.0,Chrome,66.0.3359.126,1
JO,Amman,35.939,31.9522,Jordan Telecommunications Company,212.34.16.0/21,Android,mobile,6.0,Chrome,61.0.3163.98,1
UA,Dnipro,35.046,48.4735,Kyivstar PJSC,46.211.0.0/16,Android,mobile,6.0,Chrome WebView,48.0.2564.106,2
JO,Irbid,35.8479,32.5609,Jordan Data Communications Company LLC,46.185.128.0/17,Android,mobile,5.1.1,Chrome,62.0.3202.84,1
JO,Amman,35.939,31.9522,Linkdotnet-Jordan,188.247.64.0/19,Android,mobile,6.0,Chrome,52.0.2743.98,1
ID,Jakarta,106.8296,-6.1741,PT WIRELESS INDONESIA WIN,115.178.192.0/18,Android,desktop,,Opera Mini,32.0.2254,2
AZ,Baku,49.8759,40.3909,Bakcell LLC,5.44.32.0/21,Android,mobile,4.4.4,Chrome,65.0.3325.109,2
UA,Dnipro,35.046,48.4735,Kyivstar PJSC,46.211.0.0/16,Android,mobile,6.0,Chrome WebView,65.0.3325.109,2
JO,Amman,35.939,31.9522,Batelco Jordan,37.220.112.0/20,Android,mobile,5.0,Samsung Browser,6.4,1
DZ,Algiers,3.0905,36.7295,wataniya-telecom-as,105.235.128.0/20,Android,mobile,4.3,Android Browser,4.0,2
JO,Amman,35.939,31.9522,Jordan Telecommunications Company,212.34.16.0/21,Android,mobile,6.0,Chrome,52.0.2743.98,1
JO,Amman,35.939,31.9522,Jordan Telecommunications Company,213.139.52.0/23,Android,mobile,6.0,Chrome,64.0.3282.137,1
UA,Kremenchug,33.3967,49.0602,Kyivstar PJSC,188.163.0.0/17,Android,mobile,6.0.1,Chrome WebView,64.0.3282.137,2
PL,Zabrze,18.7764,50.3066,Orange Polska Spolka Akcyjna,46.134.128.0/18,Android,mobile,7.0,Chrome WebView,66.0.3359.126,2
JO,Amman,35.939,31.9522,Batelco Jordan,5.45.128.0/20,Android,mobile,5.1,Chrome,63.0.3239.111,2
JM,Kingston,-76.8019,17.9962,DIG001,63.143.112.0/20,Android,mobile,5.1,Chrome,50.0.2661.89,2
JO,Amman,35.939,31.9522,Linkdotnet-Jordan,46.32.96.0/19,Android,mobile,6.0,Chrome,65.0.3325.109,2
UA,Zhytomyr,28.6722,50.262,Kyivstar PJSC,188.163.0.0/17,Android,mobile,6.0,Chrome WebView,44.0.2403.119,1
JO,Irbid,35.8479,32.5609,Jordan Telecommunications Company,212.34.16.0/21,Android,mobile,6.0,Chrome,66.0.3359.126,1
MN,Ulan Bator,106.9177,47.9173,first E-commerce and TriplePlay Service ISP in Mongolia.,66.181.160.0/23,Android,mobile,4.4.2,Android Browser,4.0,2
JM,Parish of Saint Ann,-77.2667,18.35,FLOW-NET,72.27.136.0/21,Android,mobile,6.0,Chrome WebView,44.0.2403.119,2
